cat1,cat2,value
base_attack,base_attack,1
base_attack,base_defense,0.487813738
base_attack,base_experience,0.508588787
base_attack,base_hp,0.300754579
base_attack,base_special_attack,0.139454434
base_attack,base_special_defense,0.363043677
base_attack,base_speed,0.188180322
base_attack,height,0.315784888
base_attack,number,0.252494245
base_attack,weight,0.472878368
base_defense,base_attack,0.487813738
base_defense,base_defense,1
base_defense,base_experience,0.320357099
base_defense,base_hp,0.110967661
base_defense,base_special_attack,0.180089004
base_defense,base_special_defense,0.13025846
base_defense,base_speed,-0.063034135
base_defense,height,0.366808019
base_defense,number,0.316908959
base_defense,weight,0.421558436
base_experience,base_attack,0.508588787
base_experience,base_defense,0.320357099
base_experience,base_experience,1
base_experience,base_hp,0.68919908
base_experience,base_special_attack,0.588988681
base_experience,base_special_defense,0.715805602
base_experience,base_speed,0.435183955
base_experience,height,0.345121933
base_experience,number,0.181994288
base_experience,weight,0.424848189
base_hp,base_attack,0.300754579
base_hp,base_defense,0.110967661
base_hp,base_experience,0.68919908
base_hp,base_hp,1
base_hp,base_special_attack,0.229199224
base_hp,base_special_defense,0.484940165
base_hp,base_speed,-0.051197276
base_hp,height,0.252181435
base_hp,number,0.192902375
base_hp,weight,0.458902129
base_special_attack,base_attack,0.139454434
base_special_attack,base_defense,0.180089004
base_special_attack,base_experience,0.588988681
base_special_attack,base_hp,0.229199224
base_special_attack,base_special_attack,1
base_special_attack,base_special_defense,0.517785243
base_special_attack,base_speed,0.406185459
base_special_attack,height,0.164305657
base_special_attack,number,0.245739511
base_special_attack,weight,0.155709243
base_special_defense,base_attack,0.363043677
base_special_defense,base_defense,0.13025846
base_special_defense,base_experience,0.715805602
base_special_defense,base_hp,0.484940165
base_special_defense,base_special_attack,0.517785243
base_special_defense,base_special_defense,1
base_special_defense,base_speed,0.386012825
base_special_defense,height,0.320167981
base_special_defense,number,0.242350248
base_special_defense,weight,0.381855891
base_speed,base_attack,0.188180322
base_speed,base_defense,-0.063034135
base_speed,base_experience,0.435183955
base_speed,base_hp,-0.051197276
base_speed,base_special_attack,0.406185459
base_speed,base_special_defense,0.386012825
base_speed,base_speed,1
base_speed,height,0.210911093
base_speed,number,0.1206038
base_speed,weight,0.063928244
height,base_attack,0.315784888
height,base_defense,0.366808019
height,base_experience,0.345121933
height,base_hp,0.252181435
height,base_special_attack,0.164305657
height,base_special_defense,0.320167981
height,base_speed,0.210911093
height,height,1
height,number,0.23299321
height,weight,0.565656788
number,base_attack,0.252494245
number,base_defense,0.316908959
number,base_experience,0.181994288
number,base_hp,0.192902375
number,base_special_attack,0.245739511
number,base_special_defense,0.242350248
number,base_speed,0.1206038
number,height,0.23299321
number,number,1
number,weight,0.2796832
weight,base_attack,0.472878368
weight,base_defense,0.421558436
weight,base_experience,0.424848189
weight,base_hp,0.458902129
weight,base_special_attack,0.155709243
weight,base_special_defense,0.381855891
weight,base_speed,0.063928244
weight,height,0.565656788
weight,number,0.2796832
weight,weight,1
